Indice,Valor,Fecha,URL,Ticker
ACCIONA,"1,77",2021-10-07 20:19:45.956028,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0125220311,ANA.MC
ACERINOX,"1,86",2021-10-07 20:19:45.961774,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0132105018,ACX.MC
ACS,"1,43",2021-10-07 20:19:45.961774,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0167050915,ACS.MC
AENA,"0,07",2021-10-07 20:19:45.961774,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0105046009,AENA.MC
ALMIRALL,"1,62",2021-10-07 20:19:45.961774,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0157097017,ALM.MC
AMADEUS,"0,57",2021-10-07 20:19:45.980237,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0109067019,AMS.MC
ARCELORMIT.,"4,32",2021-10-07 20:19:45.980237,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=LU1598757687,MTS.MC
B.SANTANDER,"2,86",2021-10-07 20:19:45.980237,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0113900J37,SAN.MC
BA.SABADELL,"-0,31",2021-10-07 20:19:45.980237,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0113860A34,SAB.MC
BANKINTER,"1,21",2021-10-07 20:19:45.997134,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0113679I37,BKT.MC
BBVA,"1,60",2021-10-07 20:19:45.997134,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0113211835,BBVA.MC
CAIXABANK,"1,75",2021-10-07 20:19:45.997134,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0140609019,CABK.MC
CELLNEX,"1,16",2021-10-07 20:19:45.997134,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0105066007,CLNX.MC
CIE AUTOMOT.,"3,45",2021-10-07 20:19:46.014932,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0105630315,CIE.MC
ENAGAS,"-0,46",2021-10-07 20:19:46.014932,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0130960018,ENG.MC
ENDESA,"4,31",2021-10-07 20:19:46.014932,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0130670112,ELE.MC
FERROVIAL,"2,28",2021-10-07 20:19:46.030670,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0118900010,FER.MC
FLUIDRA,"2,26",2021-10-07 20:19:46.030670,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0137650018,FDR.MC
GRIFOLS CL.A,"-0,47",2021-10-07 20:19:46.030670,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0171996087,GRF.MC
IAG,"-1,32",2021-10-07 20:19:46.030670,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0177542018,IAG.MC
IBERDROLA,"7,00",2021-10-07 20:19:46.046296,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0144580Y14,IBE.MC
INDITEX,"2,54",2021-10-07 20:19:46.046296,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0148396007,ITX.MC
INDRA A,"0,22",2021-10-07 20:19:46.046296,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0118594417,IDR.MC
INM.COLONIAL,"0,60",2021-10-07 20:19:46.062205,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0139140174,COL.MC
MAPFRE,"-0,33",2021-10-07 20:19:46.067627,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0124244E34,MAP.MC
MELIA HOTELS,"1,54",2021-10-07 20:19:46.072822,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0176252718,MEL.MC
MERLIN,"1,96",2021-10-07 20:19:46.072822,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0105025003,MRL.MC
NATURGY,"-0,46",2021-10-07 20:19:46.072822,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0116870314,NTGY.MC
PHARMA MAR,"2,47",2021-10-07 20:19:46.088450,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0169501022,PHM.MC
R.E.C.,"-1,07",2021-10-07 20:19:46.088450,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0173093024,REE.MC
REPSOL,"0,88",2021-10-07 20:19:46.088450,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0173516115,REP.MC
SIEMENS GAME,"0,84",2021-10-07 20:19:46.104073,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0143416115,SGRE.MC
SOLARIA,"2,46",2021-10-07 20:19:46.104073,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0165386014,SLR.MC
TELEFONICA,"0,78",2021-10-07 20:19:46.104073,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0178430E18,TEF.MC
VISCOFAN,"0,63",2021-10-07 20:19:46.119694,https://www.bolsamadrid.es/esp/aspx/Empresas/FichaValor.aspx?ISIN=ES0184262212,VIS.MC
